Loading files... 
  Starting train.txt
  Finished train.txt, still running: 0
Loaded 170672 facts in 0.62 s using -75 MB
Using HeadCoverage as pruning metric with minimum threshold 0.5
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
Filtering on standard confidence with minimum threshold 0.5
Filtering on PCA confidence with minimum threshold 0.7
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 8 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  1186  ?a   => ?a  1144  ?b	0.7734375	0.81147541	1	198	244	198	?b	0.0	0.0	0.0
?b  1318  ?a   => ?a  1141  ?b	0.806569343	0.840304183	0.840304183	221	263	263	?b	0.0	0.0	0.0
?b  1198  ?a   => ?a  1134  ?b	0.841584158	0.837438424	0.878552972	340	406	387	?b	0.0	0.0	0.0
?b  1307  ?a   => ?a  1157  ?b	0.816823464	0.813671444	0.934768841	1476	1814	1579	?b	0.0	0.0	0.0
?b  1158  ?a   => ?a  1128  ?b	0.826794258	0.805219012	0.870967742	864	1073	992	?b	0.0	0.0	0.0
?b  17  ?a   => ?a  1125  ?b	0.832474227	0.785888078	0.821882952	323	411	393	?b	0.0	0.0	0.0
?b  1321  ?a   => ?a  1146  ?b	0.822996831	0.833180568	0.890739833	1818	2182	2041	?b	0.0	0.0	0.0
?b  1099  ?a   => ?a  1126  ?b	0.824769433	0.819371728	0.926035503	626	764	676	?b	0.0	0.0	0.0
?b  1066  ?a   => ?a  1127  ?b	0.815737705	0.826578073	0.888571429	1244	1505	1400	?a	0.0	0.0	0.0
?b  1249  ?a   => ?a  1123  ?b	0.819484241	0.820659971	0.829586657	1144	1394	1379	?b	0.0	0.0	0.0
?b  1287  ?a   => ?a  349  ?b	0.822580645	0.859550562	0.905325444	153	178	169	?a	0.0	0.0	0.0
?b  1073  ?a   => ?a  343  ?b	0.795081967	0.829059829	0.97979798	97	117	99	?b	0.0	0.0	0.0
?b  23  ?a   => ?a  1122  ?b	0.821647677	0.826355223	0.837427423	1875	2269	2239	?a	0.0	0.0	0.0
?b  1245  ?a   => ?a  1124  ?b	0.799014239	0.816909295	0.911875	1459	1786	1600	?a	0.0	0.0	0.0
?b  1294  ?a   => ?a  1119  ?b	0.81294964	0.81884058	0.978354978	226	276	231	?a	0.0	0.0	0.0
?b  1189  ?a   => ?a  1120  ?b	0.824435318	0.826131687	0.868108108	1606	1944	1850	?a	0.0	0.0	0.0
?b  1236  ?a   => ?a  1118  ?b	0.821917808	0.818858561	0.94017094	660	806	702	?b	0.0	0.0	0.0
?b  15  ?a   => ?a  1108  ?b	0.854663774	0.800813008	0.800813008	394	492	492	?a	0.0	0.0	0.0
?b  499  ?a   => ?a  1105  ?b	0.796875	0.86440678	1	153	177	153	?a	0.0	0.0	0.0
?b  1322  ?a   => ?a  1114  ?b	0.826168224	0.837121212	0.993258427	442	528	445	?a	0.0	0.0	0.0
?b  1148  ?a   => ?a  1111  ?b	0.805369128	0.816326531	0.867992767	480	588	553	?a	0.0	0.0	0.0
?b  539  ?a   => ?a  304  ?b	0.865384615	0.789473684	1	90	114	90	?b	0.0	0.0	0.0
?b  1069  ?a   => ?a  1103  ?b	0.853741497	0.820261438	0.836666667	251	306	300	?b	0.0	0.0	0.0
?b  593  ?a   => ?a  855  ?b	0.853448276	0.798387097	0.970588235	99	124	102	?a	0.0	0.0	0.0
?b  1274  ?a   => ?a  1102  ?b	0.827428571	0.84876905	0.850763807	724	853	851	?b	0.0	0.0	0.0
?b  25  ?a   => ?a  1121  ?b	0.81775	0.827682186	0.861016057	3271	3952	3799	?b	0.0	0.0	0.0
?b  512  ?a   => ?a  598  ?b	0.833333333	0.826558266	0.88150289	305	369	346	?b	0.0	0.0	0.0
?b  1179  ?a   => ?a  598  ?b	0.849726776	0.67462039	0.876056338	311	461	355	?b	0.0	0.0	0.0
?b  1200  ?a   => ?a  598  ?b	0.825136612	0.822888283	0.87283237	302	367	346	?b	0.0	0.0	0.0
?b  1323  ?a   => ?a  598  ?b	0.819672131	0.81300813	0.867052023	300	369	346	?b	0.0	0.0	0.0
?a  1209  ?b   => ?a  598  ?b	0.822404372	0.817934783	0.872463768	301	368	345	?b	0.0	0.0	0.0
?a  1214  ?b   => ?a  598  ?b	0.846994536	0.835579515	0.883190883	310	371	351	?b	0.0	0.0	0.0
?a  441  ?b   => ?a  598  ?b	0.819672131	0.677200903	0.872093023	300	443	344	?b	0.0	0.0	0.0
?b  414  ?a   => ?a  589  ?b	0.71641791	0.79338843	0.806722689	96	121	119	?b	0.0	0.0	0.0
?b  855  ?a   => ?a  593  ?b	0.798387097	0.853448276	0.970588235	99	116	102	?a	0.0	0.0	0.0
?b  391  ?a   => ?a  591  ?b	0.8125	0.769736842	1	117	152	117	?a	0.0	0.0	0.0
?b  1086  ?a   => ?a  584  ?b	0.825396825	0.856470588	0.864608076	364	425	421	?b	0.0	0.0	0.0
?b  583  ?a   => ?a  583  ?b	0.78125	0.78125	0.862068966	100	128	116	?a	0.0	0.0	0.0
?b  406  ?a   => ?a  576  ?b	0.887218045	0.874074074	0.929133858	118	135	127	?a	0.0	0.0	0.0
?b  1196  ?a   => ?a  577  ?b	0.819742489	0.779591837	1	191	245	191	?a	0.0	0.0	0.0
?b  1159  ?a   => ?a  1159  ?b	0.821486928	0.821486928	0.830991736	4022	4896	4840	?a	0.0	0.0	0.0
?b  1327  ?a   => ?a  572  ?b	0.780821918	0.846534653	0.966101695	171	202	177	?b	0.0	0.0	0.0
?b  566  ?a   => ?a  566  ?b	0.846153846	0.846153846	0.862745098	88	104	102	?a	0.0	0.0	0.0
?b  1164  ?a   => ?a  581  ?b	0.7875	0.815533981	0.974854932	504	618	517	?a	0.0	0.0	0.0
?b  1238  ?a   => ?a  574  ?b	0.811808118	0.817843866	0.94017094	220	269	234	?b	0.0	0.0	0.0
?b  565  ?a   => ?a  565  ?b	0.836236934	0.836236934	0.898876404	240	287	267	?a	0.0	0.0	0.0
?b  1262  ?a   => ?a  1150  ?b	0.81369863	0.825688073	0.854676259	2970	3597	3475	?b	0.0	0.0	0.0
?b  572  ?a   => ?a  1327  ?b	0.846534653	0.780821918	0.929347826	171	219	184	?a	0.0	0.0	0.0
?b  1277  ?a   => ?a  586  ?b	0.845896147	0.823817292	0.936920223	505	613	539	?b	0.0	0.0	0.0
?b  1319  ?a   => ?a  1329  ?b	0.850649351	0.808641975	0.935714286	131	162	140	?b	0.0	0.0	0.0
?b  1209  ?a   => ?a  1323  ?b	0.840108401	0.842391304	0.880681818	310	368	352	?a	0.0	0.0	0.0
?b  441  ?a   => ?a  1323  ?b	0.826558266	0.688487585	0.871428571	305	443	350	?a	0.0	0.0	0.0
?b  27  ?a   => ?a  1180  ?b	0.820374898	0.817310815	0.829980211	5033	6158	6064	?a	0.0	0.0	0.0
?b  1214  ?a   => ?a  1323  ?b	0.823848238	0.819407008	0.858757062	304	371	354	?a	0.0	0.0	0.0
?b  598  ?a   => ?a  1323  ?b	0.81300813	0.819672131	0.869565217	300	366	345	?a	0.0	0.0	0.0
?a  1179  ?b   => ?a  1323  ?b	0.864498645	0.69197397	0.878787879	319	461	363	?a	0.0	0.0	0.0
?a  1200  ?b   => ?a  1323  ?b	0.802168022	0.80653951	0.850574713	296	367	348	?a	0.0	0.0	0.0
?a  512  ?b   => ?a  1323  ?b	0.815718157	0.815718157	0.864942529	301	369	348	?a	0.0	0.0	0.0
?b  1114  ?a   => ?a  1322  ?b	0.837121212	0.826168224	0.986607143	442	535	448	?b	0.0	0.0	0.0
?b  1329  ?a   => ?a  1319  ?b	0.808641975	0.850649351	0.949275362	131	154	138	?a	0.0	0.0	0.0
?b  573  ?a   => ?a  573  ?b	0.805369128	0.805369128	0.967741935	240	298	248	?b	0.0	0.0	0.0
?b  1141  ?a   => ?a  1318  ?b	0.840304183	0.806569343	0.806569343	221	274	274	?a	0.0	0.0	0.0
?b  1211  ?a   => ?a  546  ?b	0.778816199	0.822368421	0.856164384	250	304	292	?a	0.0	0.0	0.0
?b  1300  ?a   => ?a  1320  ?b	0.801212121	0.804136253	0.909215956	661	822	727	?a	0.0	0.0	0.0
?b  304  ?a   => ?a  539  ?b	0.789473684	0.865384615	0.989010989	90	104	91	?a	0.0	0.0	0.0
?b  1149  ?a   => ?a  1313  ?b	0.848275862	0.809210526	0.942528736	246	304	261	?b	0.0	0.0	0.0
?b  1194  ?a   => ?a  544  ?b	0.805555556	0.852941176	1	174	204	174	?b	0.0	0.0	0.0
?b  471  ?a   => ?a  562  ?b	0.822429907	0.792792793	1	88	111	88	?b	0.0	0.0	0.0
?b  1153  ?a   => ?a  1326  ?b	0.8057041	0.840148699	0.949579832	452	538	476	?b	0.0	0.0	0.0
?b  429  ?a   => ?a  534  ?b	0.834821429	0.813043478	0.930348259	187	230	201	?b	0.0	0.0	0.0
?b  1146  ?a   => ?a  1321  ?b	0.833180568	0.822996831	0.869024857	1818	2209	2092	?a	0.0	0.0	0.0
?b  1038  ?a   => ?a  528  ?b	0.891891892	0.804878049	0.99	99	123	100	?a	0.0	0.0	0.0
?b  1320  ?a   => ?a  1300  ?b	0.804136253	0.801212121	0.914246196	661	825	723	?b	0.0	0.0	0.0
?b  1220  ?a   => ?a  1310  ?b	0.762195122	0.850340136	0.946969697	125	147	132	?a	0.0	0.0	0.0
?a  1247  ?b   => ?a  526  ?b	0.800904977	0.743697479	0.779735683	177	238	227	?a	0.0	0.0	0.0
?b  1142  ?a   => ?a  526  ?b	0.832579186	0.773109244	0.8	184	238	230	?a	0.0	0.0	0.0
?b  1259  ?a   => ?a  519  ?b	0.824074074	0.801801802	0.936842105	89	111	95	?b	0.0	0.0	0.0
?b  1214  ?a   => ?a  512  ?b	0.837398374	0.832884097	0.875354108	309	371	353	?a	0.0	0.0	0.0
?b  441  ?a   => ?a  512  ?b	0.826558266	0.688487585	0.871428571	305	443	350	?a	0.0	0.0	0.0
?b  598  ?a   => ?a  512  ?b	0.826558266	0.833333333	0.878962536	305	366	347	?a	0.0	0.0	0.0
?b  1209  ?a   => ?a  512  ?b	0.821138211	0.823369565	0.863247863	303	368	351	?a	0.0	0.0	0.0
?a  1323  ?b   => ?a  512  ?b	0.815718157	0.815718157	0.862464183	301	369	349	?a	0.0	0.0	0.0
?a  1179  ?b   => ?a  512  ?b	0.848238482	0.678958785	0.864640884	313	461	362	?a	0.0	0.0	0.0
?a  1200  ?b   => ?a  512  ?b	0.829268293	0.833787466	0.871794872	306	367	351	?a	0.0	0.0	0.0
?b  1168  ?a   => ?a  510  ?b	0.771535581	0.807843137	0.882226981	412	510	467	?b	0.0	0.0	0.0
?b  21  ?a   => ?a  1301  ?b	0.812128419	0.816985646	0.886437378	1366	1672	1541	?b	0.0	0.0	0.0
?b  1088  ?a   => ?a  1088  ?b	0.81799591	0.81799591	0.842105263	400	489	475	?b	0.0	0.0	0.0
?b  1005  ?a   => ?a  1087  ?b	0.85106383	0.816326531	0.99009901	200	245	202	?a	0.0	0.0	0.0
?b  584  ?a   => ?a  1086  ?b	0.856470588	0.825396825	0.840646651	364	441	433	?a	0.0	0.0	0.0
?b  1082  ?a   => ?a  1082  ?b	0.738738739	0.738738739	0.88172043	82	111	93	?a	0.0	0.0	0.0
?b  432  ?a   => ?a  503  ?b	0.80861244	0.800947867	0.80861244	169	211	209	?b	0.0	0.0	0.0
?b  474  ?a   => ?a  1078  ?b	0.808219178	0.830985915	0.842857143	118	142	140	?a	0.0	0.0	0.0
?b  1157  ?a   => ?a  1307  ?b	0.813671444	0.816823464	0.935361217	1476	1807	1578	?a	0.0	0.0	0.0
?b  343  ?a   => ?a  1073  ?b	0.829059829	0.795081967	0.950980392	97	122	102	?a	0.0	0.0	0.0
?b  1103  ?a   => ?a  1069  ?b	0.820261438	0.853741497	0.893238434	251	294	281	?a	0.0	0.0	0.0
?b  1072  ?a   => ?a  1309  ?b	0.804549284	0.827556326	0.857271095	955	1154	1114	?b	0.0	0.0	0.0
?b  427  ?a   => ?a  1062  ?b	0.803149606	0.86440678	0.886956522	102	118	115	?a	0.0	0.0	0.0
?b  1244  ?a   => ?a  1306  ?b	0.824945295	0.820993031	0.851784907	1885	2296	2213	?b	0.0	0.0	0.0
?b  1210  ?a   => ?a  1075  ?b	0.836805556	0.82912844	0.889298893	723	872	813	?a	0.0	0.0	0.0
?b  528  ?a   => ?a  1038  ?b	0.804878049	0.891891892	0.99	99	111	100	?b	0.0	0.0	0.0
?b  999  ?a   => ?a  31  ?b	0.795275591	0.863247863	0.980582524	101	117	103	?a	0.0	0.0	0.0
?b  495  ?a   => ?a  1050  ?b	0.881188119	0.767241379	0.773913043	89	116	115	?a	0.0	0.0	0.0
?b  1309  ?a   => ?a  1072  ?b	0.827556326	0.804549284	0.83479021	955	1187	1144	?a	0.0	0.0	0.0
?b  1127  ?a   => ?a  1066  ?b	0.826578073	0.815737705	0.88101983	1244	1525	1412	?b	0.0	0.0	0.0
?b  1208  ?a   => ?a  518  ?b	0.760784314	0.779116466	0.950980392	194	249	204	?b	0.0	0.0	0.0
?b  1224  ?a   => ?a  1011  ?b	0.808641975	0.821316614	0.906574394	262	319	289	?a	0.0	0.0	0.0
?b  445  ?a   => ?a  1008  ?b	0.785714286	0.822429907	0.897959184	88	107	98	?a	0.0	0.0	0.0
?b  1248  ?a   => ?a  29  ?b	0.827338129	0.824104235	0.915340087	1265	1535	1382	?b	0.0	0.0	0.0
?b  1126  ?a   => ?a  1099  ?b	0.819371728	0.824769433	0.935724963	626	759	669	?a	0.0	0.0	0.0
?b  1122  ?a   => ?a  23  ?b	0.826355223	0.821647677	0.841184388	1875	2282	2229	?b	0.0	0.0	0.0
?b  1125  ?a   => ?a  17  ?b	0.785888078	0.832474227	0.859042553	323	388	376	?a	0.0	0.0	0.0
?b  1087  ?a   => ?a  1005  ?b	0.816326531	0.85106383	0.995024876	200	235	201	?b	0.0	0.0	0.0
?b  1188  ?a   => ?a  1081  ?b	0.802681992	0.823182711	0.956621005	419	509	438	?b	0.0	0.0	0.0
?b  1254  ?a   => ?a  1299  ?b	0.806818182	0.825581395	0.940397351	142	172	151	?b	0.0	0.0	0.0
?b  1257  ?a   => ?a  1297  ?b	0.842857143	0.813793103	0.959349593	118	145	123	?a	0.0	0.0	0.0
?b  1108  ?a   => ?a  15  ?b	0.800813008	0.854663774	0.854663774	394	461	461	?a	0.0	0.0	0.0
?b  1166  ?a   => ?a  1292  ?b	0.828651685	0.817174515	0.945512821	295	361	312	?b	0.0	0.0	0.0
?b  1285  ?a   => ?a  1290  ?b	0.802521008	0.817987152	1	382	467	382	?a	0.0	0.0	0.0
?b  1290  ?a   => ?a  1290  ?b	1	1	1	476	476	476	?a	0.0	0.0	0.0
?a  1285  ?b   => ?a  1290  ?b	0.802521008	0.817987152	1	382	467	382	?a	0.0	0.0	0.0
?b  349  ?a   => ?a  1287  ?b	0.859550562	0.822580645	0.884393064	153	186	173	?b	0.0	0.0	0.0
?b  1162  ?a   => ?a  13  ?b	0.815511163	0.826190476	0.906005222	694	840	766	?a	0.0	0.0	0.0
?b  1121  ?a   => ?a  25  ?b	0.827682186	0.81775	0.856955724	3271	4000	3817	?a	0.0	0.0	0.0
?b  1172  ?a   => ?a  1298  ?b	0.825396825	0.809338521	0.822134387	416	514	506	?b	0.0	0.0	0.0
?b  1181  ?a   => ?a  1282  ?b	0.816546763	0.816546763	0.876447876	227	278	259	?b	0.0	0.0	0.0
?b  1275  ?a   => ?a  1284  ?b	0.768518519	0.786729858	0.904632153	332	422	367	?a	0.0	0.0	0.0
?b  1290  ?a   => ?a  1285  ?b	0.817987152	0.802521008	1	382	476	382	?a	0.0	0.0	0.0
?a  1290  ?b   => ?a  1285  ?b	0.817987152	0.802521008	1	382	476	382	?a	0.0	0.0	0.0
?b  1285  ?a   => ?a  1285  ?b	1	1	1	467	467	467	?a	0.0	0.0	0.0
?b  1279  ?a   => ?a  1279  ?b	0.822580645	0.822580645	0.842975207	102	124	121	?a	0.0	0.0	0.0
?b  1119  ?a   => ?a  1294  ?b	0.81884058	0.81294964	0.99122807	226	278	228	?b	0.0	0.0	0.0
?b  1232  ?a   => ?a  1278  ?b	0.831168831	0.802507837	0.817891374	256	319	313	?a	0.0	0.0	0.0
?b  1250  ?a   => ?a  1276  ?b	0.836298932	0.848375451	0.921568627	235	277	255	?b	0.0	0.0	0.0
?b  1284  ?a   => ?a  1275  ?b	0.786729858	0.768518519	0.882978723	332	432	376	?b	0.0	0.0	0.0
?b  1280  ?a   => ?a  1280  ?b	0.825221239	0.825221239	0.861431871	746	904	866	?a	0.0	0.0	0.0
?b  1270  ?a   => ?a  1270  ?b	0.814569536	0.814569536	0.854166667	246	302	288	?a	0.0	0.0	0.0
?b  1102  ?a   => ?a  1274  ?b	0.84876905	0.827428571	0.832183908	724	875	870	?a	0.0	0.0	0.0
?b  1105  ?a   => ?a  499  ?b	0.86440678	0.796875	1	153	192	153	?b	0.0	0.0	0.0
?b  1050  ?a   => ?a  495  ?b	0.767241379	0.881188119	0.898989899	89	101	99	?b	0.0	0.0	0.0
?b  586  ?a   => ?a  1277  ?b	0.823817292	0.845896147	0.951035782	505	597	531	?a	0.0	0.0	0.0
?b  410  ?a   => ?a  494  ?b	0.794642857	0.831775701	0.881188119	89	107	101	?b	0.0	0.0	0.0
?b  479  ?a   => ?a  1271  ?b	0.837155963	0.795206972	0.945595855	365	459	386	?a	0.0	0.0	0.0
?b  1177  ?a   => ?a  1268  ?b	0.867924528	0.812720848	0.923694779	230	283	249	?b	0.0	0.0	0.0
?b  1301  ?a   => ?a  21  ?b	0.816985646	0.812128419	0.881290323	1366	1682	1550	?a	0.0	0.0	0.0
?b  1234  ?a   => ?a  488  ?b	0.766536965	0.763565891	0.800813008	197	258	246	?a	0.0	0.0	0.0
?b  1054  ?a   => ?a  1258  ?b	0.774509804	0.806122449	0.951807229	79	98	83	?a	0.0	0.0	0.0
?b  519  ?a   => ?a  1259  ?b	0.801801802	0.824074074	0.978021978	89	108	91	?a	0.0	0.0	0.0
?b  1297  ?a   => ?a  1257  ?b	0.813793103	0.842857143	0.983333333	118	140	120	?b	0.0	0.0	0.0
?b  1299  ?a   => ?a  1254  ?b	0.825581395	0.806818182	0.922077922	142	176	154	?a	0.0	0.0	0.0
?b  1255  ?a   => ?a  1255  ?b	0.8026534	0.8026534	0.8026534	968	1206	1206	?a	0.0	0.0	0.0
?b  1252  ?a   => ?a  1252  ?b	0.816479401	0.816479401	0.816479401	654	801	801	?b	0.0	0.0	0.0
?b  1201  ?a   => ?a  1251  ?b	0.801980198	0.822335025	0.931034483	162	197	174	?a	0.0	0.0	0.0
?b  562  ?a   => ?a  471  ?b	0.792792793	0.822429907	0.988764045	88	107	89	?a	0.0	0.0	0.0
?b  1271  ?a   => ?a  479  ?b	0.795206972	0.837155963	0.943152455	365	436	387	?b	0.0	0.0	0.0
?b  1276  ?a   => ?a  1250  ?b	0.848375451	0.836298932	0.886792453	235	281	265	?a	0.0	0.0	0.0
?b  1142  ?a   => ?a  1247  ?b	0.789915966	0.789915966	0.803418803	188	238	234	?a	0.0	0.0	0.0
?a  526  ?b   => ?a  1247  ?b	0.743697479	0.800904977	0.811926606	177	221	218	?a	0.0	0.0	0.0
?b  1246  ?a   => ?a  1246  ?b	0.821100917	0.821100917	0.821100917	358	436	436	?a	0.0	0.0	0.0
?b  19  ?a   => ?a  19  ?b	0.813573883	0.813573883	0.820535037	7576	9312	9233	?b	0.0	0.0	0.0
?b  1123  ?a   => ?a  1249  ?b	0.820659971	0.819484241	0.838709677	1144	1396	1364	?a	0.0	0.0	0.0
?b  1078  ?a   => ?a  474  ?b	0.830985915	0.808219178	0.813793103	118	146	145	?b	0.0	0.0	0.0
?b  969  ?a   => ?a  1239  ?b	0.862745098	0.838095238	0.907216495	88	105	97	?a	0.0	0.0	0.0
?b  996  ?a   => ?a  468  ?b	0.743421053	0.837037037	0.8828125	113	135	128	?b	0.0	0.0	0.0
?b  574  ?a   => ?a  1238  ?b	0.817843866	0.811808118	0.905349794	220	271	243	?a	0.0	0.0	0.0
?b  1124  ?a   => ?a  1245  ?b	0.816909295	0.799014239	0.911305434	1459	1826	1601	?b	0.0	0.0	0.0
?b  1185  ?a   => ?a  1242  ?b	0.825825826	0.825206302	1	1100	1333	1100	?a	0.0	0.0	0.0
?b  488  ?a   => ?a  1234  ?b	0.763565891	0.766536965	0.794354839	197	257	248	?b	0.0	0.0	0.0
?b  1278  ?a   => ?a  1232  ?b	0.802507837	0.831168831	0.831168831	256	308	308	?b	0.0	0.0	0.0
?b  1195  ?a   => ?a  456  ?b	0.842424242	0.785310734	0.896774194	139	177	155	?b	0.0	0.0	0.0
?b  1160  ?a   => ?a  1223  ?b	0.849557522	0.849557522	1	96	113	96	?a	0.0	0.0	0.0
?b  1011  ?a   => ?a  1224  ?b	0.821316614	0.808641975	0.912891986	262	324	287	?b	0.0	0.0	0.0
?b  1306  ?a   => ?a  1244  ?b	0.820993031	0.824945295	0.854487761	1885	2285	2206	?a	0.0	0.0	0.0
?b  1008  ?a   => ?a  445  ?b	0.822429907	0.785714286	0.8	88	112	110	?b	0.0	0.0	0.0
?b  29  ?a   => ?a  1248  ?b	0.824104235	0.827338129	0.910727142	1265	1529	1389	?a	0.0	0.0	0.0
?b  1118  ?a   => ?a  1236  ?b	0.818858561	0.821917808	0.941512126	660	803	701	?a	0.0	0.0	0.0
?b  1179  ?a   => ?a  441  ?b	0.862302483	0.828633406	0.900943396	382	461	424	?b	0.0	0.0	0.0
?b  1323  ?a   => ?a  441  ?b	0.688487585	0.826558266	0.889212828	305	369	343	?b	0.0	0.0	0.0
?b  1200  ?a   => ?a  441  ?b	0.681715576	0.822888283	0.885630499	302	367	341	?b	0.0	0.0	0.0
?b  512  ?a   => ?a  441  ?b	0.688487585	0.826558266	0.889212828	305	369	343	?b	0.0	0.0	0.0
